id,message,translated_message,compound_score,sentiment_label,cleaned_text
23,Hmm anak tokey judi,"Hmm, child tokey judi",0.0,Neutral,hmm child tokey judi
24,Masuk la kejap pas tu Kuar...atas sbb kurang siuman...,I'm gonna get in the car when you're out of town.,0.0,Neutral,im gon na get car youre town
25,money is the king of kings,The king of kings,0.0,Neutral,king king
26,JANGAN TUNGGU PENGADILAN YG MENGHUKUM PASTI TIDAK BERLAKU KEADILAN....BIAR RAKYAT atau orang awam yg hukum,THE PROBLEM OF A PROBLEM THAT PROMOTES A CONVERSATION WITH A NEIGHBOR OR A PROBLEM OF THE OBJECTIVE,-0.6908,Negative,problem problem promotes conversation neighbor problem objective
27,Rilex bro.. money can buy law.. hidup madani bro,Relex bro.. money can't get law.. live so much as a bro.,0.0,Neutral,relex bro money cant get law live much bro
28,Undang2 malaysia akhir2 ni berpihak pd type c,End of 2 left side of pd type c,0.0,Neutral,end left side pd type c
29,kereta power tak semestinya kena bawak laju ditempat bahaya. otak xde ke? cibaiii betul budak ni,The power car doesn't have to be taken to the danger.,-0.5267,Negative,power car doesnt taken danger
30,Nanti ada kad OKU...,Then there's when you're okay...,0.2263,Positive,there youre okay
31,Hukum berat sepatutnya di jatuhkan,The law should be in the bottom.,0.0,Neutral,law bottom
32,Nanti keluar statement mcm² last² senyaaaaaaappp,Then exit status mcm2 last2 signalapp,0.0,Neutral,exit status mcm last signalapp
33,Nnt ttba ada kad oku,No hint available right now,-0.296,Negative,hint available right
34,Kad OKU dah stand by,KAD OKU has status by,0.0,Neutral,kad oku status
35,"Tengoklah keadilan ditegakkan, atau sebaliknya!","Seek righteousness, seek meekness.",0.0,Neutral,seek righteousness seek meekness
36,Good must be repaid with good and evil must be repaid with justice - Confucius.,Good must be healed with good and evil must be healed with justice - Confucius.,0.5859,Positive,good must healed good evil must healed justice confucius
37,Tgok dri background.. Confirm lepas punye,Get the background.. Confirm the top,0.2023,Positive,get background confirm top
38,kenyang la yg atas2 kena suap..atas mana?pikir la sndiri,I don't know what's going on.,0.0,Neutral,dont know whats going
39,Mesti kena setimpal!!,You should have a nice day!,0.4753,Positive,nice day
40,302 trus..niat membunuh,302 true.. intentionally kill.,-0.4404,Negative,true intentionally kill
41,Tunggu news. Mesti kena punya ada bukti kukuh.,Wait for the news.,0.0,Neutral,wait news
42,"balai simpang masukkkk ,, tgok budk ni btul2","simple ball in the door, got the ball",0.0,Neutral,simple ball door got ball
43,Dah kena reman,And the rest of them.,0.0,Neutral,rest
44,Tgk mcm mna undng² skrng nie..comfirm mcm sial..xbole nk hrap undng² skrng nie..,Tgk mcm mna nng2 n...comprim mcm sial..xbole kk hrap nng2 nr..,0.3612,Positive,tgk mcm mna nng ncomprim mcm sialxbole kk hrap nng nr
45,Satu simpang renggam tau dia anak tokei judi...knapa polis simpang renggam tak tau??,A single rat knows she's a kid tokii judi... why cop cop is a rat?,0.0,Neutral,single rat know shes kid tokii judi cop cop rat
46,Patut dia drive terus masuk penjara spg renggam,He must drive the train to the spg prison.,-0.5106,Negative,must drive train spg prison
47,"Dah la cina, anak tokey judi.. dah tentu-tentu dia lepas. Inilah Malaysia.","And in China, the child of the tokey judi... and of course he's gone.",0.0,Neutral,china child tokey judi course he gone
48,Padu ..memang x boleh harap PDRM dan polis ni . Tapi apa boleh buat ...tetap kita kena report dekat mereka ..semoga keadilan di tegakan ...memang rakyat kena bersatulah ..rasa geram dgn pemandu mabuk ..berlumba dekat jln ..scammer ..macam xda apa2 tindakan jer di ambil ..yg yb pulak sebuk dgn politik jee ...eeeemmm,"In fact, x can expect PDRM and the police are. But what can we do ... still report to their neighbors? ...that people are united... that they are the kind of drunk driver's pride...bloat near the jln.scammer...type of what action the ers are taking...yg yb wb",0.0414,Neutral,fact x expect pdrm police still report neighbor people united kind drunk driver pridebloat near jlnscammertype action er takingyg yb wb
49,Antoni (bkn menteri) dan bapak tuan samsiengg adalah kawan baik sbb dia akan tanye lu wa punye kawan...lu cakap mau belapa juta...wa kasi lu. Hahahaaaa...adooiii...dah tau dahhh.,Antoni (bkn mentire) and Mr. Samsingg's a good friend.,0.7269,Positive,antoni bkn mentire mr samsinggs good friend
50,"mengharap keadailan pda mahluk xkan ada yg adil,jadi mari آمِّيْنَ آمِّيْنَ آمِّيْن kan doa sya ini,mudhan الله yg maha adil akan membalas ke tidak adilan",I hope that justice will prevail. Let us pray for justice. God will repay the righteous.,0.9201,Positive,hope justice prevail let u pray justice god repay righteous
51,"Ya Allah, tunjukkanlah kepada kami kebenaran itu sebagai kebenaran dan kurniakanlah kami kemampuan untuk mengikutinya. Tunjukkanlah kepada kami kebatilan itu sebagai kebatilan dan kurniakanlah kami kemampuan untuk menjauhinya. Tegakkanlah keadilan di antara manusia dengan rahmat-Mu, wahai Tuhan Yang Maha Penyayang.”","And Allah said: ""O my Lord! show us the truth and give us our strength, and give us our strength to avoid this; and give us in Your mercy: for Thou art the Most Merciful of those who show mercy.""",0.8955,Positive,allah said lord show u truth give u strength give u strength avoid give u mercy thou art merciful show mercy
52,Double standard law... Memang lahanat laa.,Double standard law... is a real deal.,0.0,Neutral,double standard law real deal
53,"""Cantik kete, sam wukong belanje ke?""","""Cantik this, my uncle calling you?""",0.0,Neutral,cantik uncle calling
54,Katok mapuh orang gini susah kat orang ramai,The hand is not short. The hand is not short.,0.1461,Positive,hand short hand short
55,Jom tengok dia mesti lepas nanti...confirm punya,Jom's got to go off later...,0.0,Neutral,joms got go later
56,Jap lagi bebas la tuuuu…disuap nye dgn duit,I can't afford to be free again.,0.5106,Positive,cant afford free
57,gram plak tngok muka dia mcm xde pape je..,gram of sound behind him is mcm xde pape..,0.0,Neutral,gram sound behind mcm xde pape
58,"Lepas punya sbb Malaysia ade NGO & Bar Council yg hebat bleh putar fakta….polis akn ckp pemandu ade masalah cacat. Dah bleh baca point, korang siap bleh demo.",There is no escape from Malaysia at NGOs & Bar Council which is a great source of information....polis akn ckp driver has a problem.,0.222,Positive,escape malaysia ngo bar council great source informationpolis akn ckp driver problem
59,Di denda Rm1k bebas jaminan polis haishhhh nape otak ke situ,"In the Rm1k shelter, the police security hashhhhh is being taken there.",0.34,Positive,rmk shelter police security hashhhhh taken
60,Last2 ade kad oku jer nanti nie,Last2 points when the eyes are not moving,0.0,Neutral,last point eye moving
61,sorry la aku ada trust issue sikit dgn p*lis ni. kang pusing² org lain lak slh. lagi² ada video abg tu belasah mamat ni. risau ekk. mao abg tu yg kena balik nnt.,Sorry I have trust to issue a pain in my p*list. which pushes other orgs on slh. There are other videos that I'm looking for.,-0.0772,Negative,sorry trust issue pain plist push orgs slh video im looking
62,Kita tunggu apa keputusannya..hhmmmm,We're waiting for the decision.. Hmmmm.,0.0,Neutral,waiting decision hmmmm
63,Sam Wukong cover baik punyaaaa,Sam Wukong Cover has a good deal.,0.4404,Positive,sam wukong cover good deal
64,X takut dgn undg2.. klu kena denda byr je,X is equal to dgn and g2. The second time you are,0.0,Neutral,x equal dgn g second time
65,Level kayangan bebas dengan jaminan 3k,The level of freedom with 3k,0.6369,Positive,level freedom k
66,kalau org melayu dah siap kena pukul. Kalau ni ?,"If the body runs ready to break down, what if?",0.3612,Positive,body run ready break
67,Samada nasio nih bulih kad oku atau kad gila.. Mlysia madani bnyokk kad untuk wrga nih,"If the nation gets a mek or a crazy card, it's a little bit of a card to the bride.",-0.34,Negative,nation get mek crazy card little bit card bride
68,Same2 laa rakyat mlysia ...same2 kita tgok yeee,Same2 were people of mlysia... same2 we're not going to cry,0.3724,Positive,people mlysia going cry
69,Payah laa nk kena kalau ank tokey2 nii,The old man was like he was in the back of a tokey.,0.3612,Positive,old man like back tokey
70,Automatik budak nie jadi OKU,The child automatically becomes OKU,0.0,Neutral,child automatically becomes oku
71,Kalau terlepas jugak tak tahu nak cakap apa lagi dah. Almaklum bapak toke judi berduit. Haprak betul perangai,"And if he be departed, then he knoweth not what he will say, but what he shall say.",0.0,Neutral,departed knoweth say shall say
72,Esok Lusa Ada kad OKU la tu.....,Esok Lusa Ada when you...,0.0,Neutral,esok lusa ada
73,Lepas ni ada kad oku terlepas la....,We have no choice but to leave....,-0.2263,Negative,choice leave
74,BAGI HUKUMAN YANG SEWAJAR NYE... Jangan ada ikat jamin TAK LAYAK!!!,THE FOUR HEAD OF URGENCY...,0.0,Neutral,four head urgency
75,Tak apa “perpaduan” madani,"It's okay to ""one"" the farmer",0.2263,Positive,okay one farmer
76,Tengok muka pun tau dah OKU.,The face has been called OKAY.,0.3885,Positive,face called okay
77,Confirm bebas la ni...senang sja atur undung2 malaysia.,I'm free to confirm... I'm glad I'm getting a malaysia.,0.743,Positive,im free confirm im glad im getting malaysia
78,Aje lakanatullah..dia ingat jalan bapak dia.,Aje is on the way. He's going to remember his father's way.,0.0,Neutral,aje way he going remember father way
79,"Dengan adanya duit, tak kemana kes ni...","With money, no matter where it is...",-0.0191,Neutral,money matter
80,hukum seberatnya,The law of equality,0.0,Neutral,law equality
81,"tak bersalah ni, kad oku otw","No offense, I'm not.",0.1877,Positive,offense im
82,Xleh wat pe dh.. Tokey judi sogok duit dh tu.. Terlepas gitu je,You're going to have to go.,0.0,Neutral,youre going go
83,Depa akn apply kad OKU punyaa...,I'm gonna apply when you have...,0.0,Neutral,im gon na apply
84,Madani.... Semua lepas kalau ada wang.... Kalau org kita cepat jea masuk dalam...,Madani... it's all gone if there's money... if our organ is going in...,0.0,Neutral,madani gone there money organ going
85,Kompem xdok beraninye nak amik tindakan berat.. tgk la nanti.. lemaahhh,I'm afraid my friend is too hard.,0.4215,Positive,im afraid friend hard
86,اللهم اهزمه وانصرنا عليه,God is the Almighty and we are his children.,0.2732,Positive,god almighty child
87,Kalau dia yg mati xpe gak.ni org lain.nyawa broo,If he dies xpe doesn't.ni org other.,0.0,Neutral,dy xpe doesntni org
88,Walau lepas dari hukuman keluarga mangsa akan cari kau..bangsat ..,"Even if you're released from family court, you're gonna be looking for a...",0.0,Neutral,even youre released family court youre gon na looking
89,Tak berdosa Ker..berjudi bagi penganut Buddha,No offense. Ker..be for the Buddha.,0.1877,Positive,offense kerbe buddha
90,Lepas ni keluar la kad gila ni..,We're out of the fucking car.,0.0,Neutral,fucking car
91,Nak tengok mana geng geng emoji gelak ?,Where's the gong emoji?,0.0,Neutral,wheres gong emoji
92,Esok ada la kata suspek ada kad oku,There's a word that's been there for me,0.0,Neutral,there word thats
93,Typ C ada la alasan boleh lepas,Type C has reason to be lost,-0.3182,Negative,type c reason lost
94,KLU Lps NIE monyet jaga lah,KLU Lps NOT THE MEN,0.0,Neutral,klu lp men
95,Last ...ado sakit mental..lpas cm 2 je ....byok kes bbit kan kaum ni gak.....,Last ...to mental illness... lpas cm 2 is ....bye who can't tell you..,-0.4019,Negative,last mental illness lpas cm bye cant tell
96,"WAJIB d bebaskan lg ada laaa,kita tungguuuuuuu apa kesudahannya.Silap2 kad oku.",We're waiting for the end of the day.,0.0,Neutral,waiting end day
97,Penjara 10tahun .tapi nanti mesty ad kad oku .c!£@!,"10 years old, but then I'll be there until I read .c!£@!",0.0,Neutral,year old ill read c
98,kalau semua orang Simpang Renggam tahu itu anak tauke judi online.. kenapa Polis Diraja Malaysia ( Royal Malaysia Police ) tak tahu bapa dia siapa sampai masih x kena tahan..,If all the Rangers know that it's an online judi.. why the Malaysian King Police (King Malaysia Police) doesn't know who his father is until x is arrested..,-0.4767,Negative,ranger know online judi malaysian king police king malaysia police doesnt know father x arrested
99,Kalau terlepas jugak mmg something wrong laa dgn negara kita ni,"If we're out playing something wrong, we're going to be here.",-0.3182,Negative,playing something wrong going
100,Nasib judi kalah menang atau mati.#abis wayangggg,The puzzle has been won or killed.,-0.2023,Negative,puzzle killed
101,"Eh muka tu selamba Jew , ko bunuh org dek Allahu sedih betol aku tengok mangsa","""Oh, my God! Oh, my God!",0.5837,Positive,oh god oh god
102,paling kuat pun kena 304 je kapir ni,The most powerful power in 304 is the caper ni,0.4754,Positive,powerful power caper ni
103,luit jgn lupa tabur.. tabur tabur luit.. pasti lepas maa,Read jgn promises to drop.. wastes to read...,0.128,Positive,read jgn promise drop waste read
104,Terlepas JgK TUU..akhirnyee,JgK TUU.. latest,0.0,Neutral,jgk tuu latest
105,Tak dapat keadilan kat sini.. kau tanggunglah kat alam sana. Pasti ada hukumannnya.,You're responsible for the nature map there.,0.3182,Positive,youre responsible nature map
106,Malaysia kot..lepas punyalah..kad oku tetiba ada..,Malaysia has a lot of leaves... so long as I'm there.,0.0,Neutral,malaysia lot leaf long im
107,"Esk lps la tu, sj nk ajk mnum kopi jp... Duit pny psl",I'm not sure I'm gonna copy it.,-0.2411,Negative,im sure im gon na copy
108,Kita tgok lah mcm mana undang2 ni... Kalau tak suruh je kluarga fhm fhm je lah,We're not gonna get any more of that command if we don't want to be a family.,-0.0572,Negative,gon na get command dont want family
109,Tauke judi???…cnfirm org kaya..msti lepas punya…nti ada kad OKU la tu..,Tucke judi ??cnfirm or rich... ..but he's not in his possession... that there's when you're in..,0.3939,Positive,tucke judi cnfirm rich he possession there youre
110,Tak lama lagi bebas tu. Kerana check kat clinik ada sakit gila babi bersarang dalam KULOP tebal,It's not too long before this is free. Because clinical card checks have a fatality disorder in the patient's KULOP,-0.5994,Negative,long free clinical card check fatality disorder patient kulop
111,dah tahu itu satu kesalahan x payah bicara hukuman seberat berat buat si pelaku.,And know it's one x-ray mistake talking about the most serious punishment for my client.,-0.7559,Negative,know one xray mistake talking serious punishment client
113,Lepas dgn jaminan je nanti... Tengok la...kalau type M .... berita keluar siapa tunjuk muka ....lepas tu ulang2 laporan....,"The last time you're gonna be in the room, you know, you're gonna be in the middle of a...",0.0,Neutral,last time youre gon na room know youre gon na middle
114,Tengok A.loke kata ape..x per DAP control,Don't say..x for DAP control,0.0,Neutral,dont sayx dap control
115,Tengok muko Memang terlepas nih,My uncle was released,0.0,Neutral,uncle released
116,Bnyak dpt duit ni… bkan mangsa tapi ….eerrmmm,A lot of dpt money is... not worth it but...,-0.0857,Negative,lot dpt money worth
117,Anak Taukeh judi.. Ermm.. Paham²jer la,The son of Tukeh is Jewish.. Erm..,0.0,Neutral,son tukeh jewish erm
118,Aku dah agak memang bangsat.. Betol tekaan aku..,I'm a little kind of a nation... and I'm getting stuck.,-0.25,Negative,im little kind nation im getting stuck
119,biar adil.jgn.melayu buat melayu je yg kena.cina buat cina lepas.,Please correct the problem and try again.,-0.1027,Negative,please correct problem try
120,nk tgk kna gari n pkai bju orren x,Like tgk kara n pac in x,0.3612,Positive,like tgk kara n pac x
121,Percaya la NNTI cakap tak mengaku salah,Believe the NNTI words don't admit it wrong.,0.2411,Positive,believe nnti word dont admit wrong
122,Tak pe d dunia dia lepas.d akhrat jgn harap nk lepas..,No matter how much the world goes.,-0.0191,Neutral,matter much world go
123,Tibai kasi kiok blah jangan dok ambik gambar bagai,I'm sorry. I'm sorry.,-0.1531,Negative,im sorry im sorry
124,Aku tengok muka pun jadi geram,I cried before it was too bad.,-0.7269,Negative,cried bad
125,Cfrm lepas puye. Xpon soyap je kes ni nnti.,Cfrm is a little bit of a pueyap.,0.0,Neutral,cfrm little bit pueyap
126,"Ade kad oku tu..jpgi lepasla..kaya ma,",I'm gonna see you.,0.0,Neutral,im gon na see
127,"Dah JUDI,ada duit semua JADI","And JUDI, there's money all around JADI.",0.0,Neutral,judi there money around jadi
128,Tengok muka mcm musibat cilaka punya tonyok,The front of mcm is a very difficult accident.,-0.7328,Negative,front mcm difficult accident
129,Tokey judi byk bayaq cukai..,Tokey's got a little bit of a drink.,0.0,Neutral,tokeys got little bit drink
130,Ini langsai kasi ajar Jgn biar,This is a quick but jgn's teaching.,0.0,Neutral,quick jgns teaching
131,"Klu terlepas jgk.aku x tau la nk ckp ape ngn undang2 Malaysia ni….yg bersalah,Di lindungi….…….bkn sbb isu kaum n bangsa.isu skrg,terang2 bersalah….","The time has passed. I know that the law of Malaysia is guilty, in protection... .....bkn sbbn issues people of the nation..isu skrg, I know it's wrong.",-0.7096,Negative,time passed know law malaysia guilty protection bkn sbbn issue people nationisu skrg know wrong
132,Moga mendapat pengadilan yg seadilnya.... 4 nyawa sekali gus,To get the trial he has been sentenced to... 4 lives a year.,-0.0258,Neutral,get trial sentenced life year
133,Kalau lepas tak tahulah nak kata..tgok muka Nate ni x napok bersaloh sikit pun...MU nok kira mcmana nyawa org melayan tu,If I don't know what you're saying... don't tell Nate that x's gonna get sick... you'll probably have a life of this kind.,0.1779,Positive,dont know youre saying dont tell nate x gon na get sick youll probably life kind
134,Tak lama lagi keluar la tu...bab oku ..ha ha ha ha,I'm just out... because I'm... ha ha ha ha,0.8225,Positive,im im ha ha ha ha
135,Esok lusa senyap la kes ni.,Esko Light is gonna blow our chest.,0.0,Neutral,esko light gon na blow chest
136,tertiber esok ada kad oku..huuurrrmmm,"I'm sorry, I'm sorry.",-0.1531,Negative,im sorry im sorry
137,Tangkap skli dgn bapak judi tu.,The catch's got your dad's locker here.,0.0,Neutral,catch got dad locker
138,Semoga yg salah dpt balsan yg setimpalnya,Welcome to the next dpt balsan,0.4588,Positive,welcome next dpt balsan
139,Dia muka selamba pasal apa....pasal Ade duit....Ade duit semua boleh...tak Caye tgk la,He's a little bit on what he's talking about... about money... and money can be all...,0.0,Neutral,he little bit he talking money money
140,Skrg main duit je lokap tolak tepi,Scorpion gives you a break back,0.0,Neutral,scorpion give break back
141,Tiba tiba okayu.. tiberrrrrr.. hanat,There's been a time..,0.0,Neutral,there time
142,"Anak taukey judi?.. kaya tuuuu.....
bila lagi nk buat duit",The boy's ass is like a century old.,-0.25,Negative,boy as like century old
143,Bila jin meguasai nafsu dan otak ....abis crita ...pasti ada crita,"If you're breathing soul and brain, you're just telling... there's gotta be a story.",0.0,Neutral,youre breathing soul brain youre telling there got ta story
144,Dunia skrg ada duit semua bolh lepas,The world of skrug has money all the balls are gone,0.0,Neutral,world skrug money ball gone
145,Nanti cakap budak ni OKU pulak,Then you can return,0.0,Neutral,return
146,Setel kes,Set the cache,0.0,Neutral,set cache
147,Tpi dengar ckp bapak dia tauke judi. Tak tau betul ke dokk kalau betul faham ii je lah,I don't know exactly what to do if I don't understand.,0.0,Neutral,dont know exactly dont understand
148,KLU org melayu selalu kena tindas KLU cina selalu terlepas agaknya berapa yg depa sogok,KLU org always runs the Chinese KLU tester always gets lost little after the fall,-0.3182,Negative,klu org always run chinese klu tester always get lost little fall
149,Jgn lah pulak lepas ni budak budak ni lawyer kata ada kat Oku,Jgn is back when the boy is a lawyer who says there's an Ou,0.0,Neutral,jgn back boy lawyer say there ou
150,jgn tolak ansur wlupun duit jadi utama.,The jgn refuses to end up with money as the main thing.,0.0,Neutral,jgn refuse end money main thing
151,ok. decleerr oku. mngu depan siap kad oku.. selalu cm tu,Okay. dedelegerr oc. mn in front of you ready to read.,0.5267,Positive,okay dedelegerr oc mn front ready read
152,Nanti claim oku lak…,And then I read it...,0.0,Neutral,read
153,"Klau ada yg salam kaut duit judi,,jemm,,NFA la jwbnya,","There are people who say hello to two Jews, Imm, NFA to her.",0.0,Neutral,people say hello two jew imm nfa
154,harus dapat keadilan buat kluarga mangsa !!,I must be fair to the family!,0.3802,Positive,must fair family
155,OKu card,Oku Card,0.0,Neutral,oku card
156,Brek problem,Problem Breaking,-0.4019,Negative,problem breaking
157,Sakit mental,Mental illness,-0.4019,Negative,mental illness
158,Ya ada duit semua kesalahan terlepas..,There's money all over the mistake.,-0.34,Negative,there money mistake
160,Patut la langsi..tokei Judi,Take the down..toki Judah,0.0,Neutral,take downtoki judah
161,driver yg 1 lg kete mane ek. X kene ke ?,I'm going to drive 1 lg this way.,0.0,Neutral,im going drive lg way
162,comfom Lepas ni Anak tauke katakan...,The son's cofom Pass said...,0.0,Neutral,son cofom pas said
163,mst lepas pny ni jnji ada duit.,I don't like it.,-0.2755,Negative,dont like
164,Lepas ni semua type c Mohon kad OKU. So bebas nak buat apa pun..HHmm,All types of c Please click OK. It's free to do whatever..HHmm,0.6808,Positive,type c please click ok free whateverhhmm
165,Tsuke Judi main juta juta weiiii,The Suske Jude's millionth Way,0.0,Neutral,suske jude millionth way
166,"Susah sgt nak bg keadilan, buh kt bomoh siam ja. Cilaka punya orang",It's easy to say that justice is wrong when it's done nine times.,0.4939,Positive,easy say justice wrong done nine time
167,Compom tak salah..tak caya kita tengok...btl tak labi....,The perfect composition... our light is so loud... that it's not too loud.,0.5719,Positive,perfect composition light loud loud
168,Kita tgkkn je nnt apa kesudahan kes ni..,We don't know what the end of our life is.,0.0,Neutral,dont know end life
169,Kita tengok kes ni ..dia lepas ke macamana..,We're gonna blow the case off.,0.0,Neutral,gon na blow case
170,"Takdak hari nk kena teruk setan ni,duit ada apa nk heran",It's not like the devil's hot day.,-0.2755,Negative,like devil hot day
171,Akan terlepas dari hukuman,I'll be released from the punishment.,-0.4939,Negative,ill released punishment
172,Duit boleh pushing apa saja......,Money can wash anything...,0.0,Neutral,money wash anything
173,Kalau lepas..jom kita ramai2 g repot,If you're not allowed... let's go.,0.0,Neutral,youre allowed let go
174,"Claim OKU la tu utk tutup kes, mcm tak biasa.",I'm sure you're gonna finish it. It's not normal.,0.3182,Positive,im sure youre gon na finish normal
175,Jangan risau papa akan bayar semua you jangan risau kita kaya mah papa touke judi no hal punya you duduk rumah saja papa bayar kes tutup you may son meh yaeh .. “ touke judi “,"Don't worry about Dad will pay all you don't worry about us like dad toki judi no matter what you have just sitting in the house of papa cash you may son meh yay. ""toke judi""",0.8376,Positive,dont worry dad pay dont worry u like dad toki judi matter sitting house papa cash may son meh yay toke judi
176,Siapa mentri nye paling mabuk pastu lepas,Who's the best man in the past?,0.6369,Positive,who best man past
177,Tauke apa pn.. Atas tiket c... Lepas,Tuck what pn.. on the ticket c...,0.0,Neutral,tuck pn ticket c
178,"kalau status pon,da banyak duit. rakyat sendiri blh tahu apa pengakhiran hukuman nya kan..","If the status of the pon, there's plenty of money.",0.0,Neutral,status pon there plenty money
179,tauke judi ma..lu mw 4ratus juta pun dia kasih,And in 4 million he's in love.,0.6369,Positive,million he love
180,dlm hati dia berkata apa aqu perduli bapak aqu tauke judi sogok jer duit settle,He's heart telling me what I need my dad to do.,0.6369,Positive,he heart telling need dad
181,Klu OKU knpe x brlumba gne motor roda empat..money can buy law..setuju..,Klu OCU x-buttons to the engine of the four..money can buy law..set..,0.0,Neutral,klu ocu xbuttons engine fourmoney buy lawset
182,kalau puak2 ni tau dah ending dia camne..hmmmmm,"If you don't know what to do, he's got a camne.. Hmmmmmmmm",0.0,Neutral,dont know he got camne hmmmmmmmm
183,Woww tauke judi... Selit sikit ok settle.....,Wow fat judi...,0.5859,Positive,wow fat judi
184,Kalau mentri pun bangsa dia.. memang mcm dah tau dah kesudahan dia.. semoga pelaku dpt tindakan yg tegas.. walaupun mcm mustahil,"If he's a man of his own people, he's a real man who's never done his finals... but he's a hard-acting dpt.",0.0,Neutral,he man people he real man who never done final he hardacting dpt
